"","imageName","timeStamp","LocalTime","altitude","ImageWidth","Date","videoLocalTime","minutes","seconds","datetime_utc6","OSD.height..m.","GIMBAL.pitch","nadir"
"75","DJI_0047.MP4_00_05_25_vlc00005.png","5:25","2023-04-08 16:05:00",50.6,3840,"2023-04-08",2023-04-08 16:05:00,5,25,2023-04-08 16:10:25,50.7,-89.9,TRUE
"76","DJI_0050.MP4_00_05_00_vlc00001.png","5:00","2023-04-08 16:29:25",50.2,3840,"2023-04-08",2023-04-08 16:29:25,5,0,2023-04-08 16:34:25,51.3,-89.9,TRUE
"77","DJI_0050.MP4_00_05_03_vlc00002.png","5:03","2023-04-08 16:29:25",50.3,3840,"2023-04-08",2023-04-08 16:29:25,5,3,2023-04-08 16:34:28,50.1,-89.9,TRUE
"78","DJI_0053.MP4_00_05_23_vlc00001.png","5:23","2023-04-08 16:52:11",31.3,3840,"2023-04-08",2023-04-08 16:52:11,5,23,2023-04-08 16:57:34,29.3,-89.9,TRUE
"79","DJI_0053.MP4_00_05_26_vlc00002.png","5:26","2023-04-08 16:52:11",30.9,3840,"2023-04-08",2023-04-08 16:52:11,5,26,2023-04-08 16:57:37,31.4,-90,TRUE
"80","DJI_0054.MP4_00_00_02_vlc00001.png","0:02","2023-04-08 16:57:38",31.4,3840,"2023-04-08",2023-04-08 16:57:38,0,2,2023-04-08 16:57:40,30.9,-90,TRUE
"81","DJI_0054.MP4_00_00_05_vlc00002.png","0:05","2023-04-08 16:57:38",30.1,3840,"2023-04-08",2023-04-08 16:57:38,0,5,2023-04-08 16:57:43,30.7,-89.9,TRUE
"82","DJI_0056.MP4_00_04_11_vlc00001.png","4:11","2023-04-08 17:16:42",30.1,3840,"2023-04-08",2023-04-08 17:16:42,4,11,2023-04-08 17:20:53,30.2,-89.9,TRUE
"83","DJI_0056.MP4_00_04_13_vlc00002.png","4:13","2023-04-08 17:16:42",30.1,3840,"2023-04-08",2023-04-08 17:16:42,4,13,2023-04-08 17:20:55,30.2,-90,TRUE
"84","DJI_0056.MP4_00_04_15_vlc00003.png","4:15","2023-04-08 17:16:42",30.2,3840,"2023-04-08",2023-04-08 17:16:42,4,15,2023-04-08 17:20:57,30.1,-89.9,TRUE
"85","DJI_0056.MP4_00_04_17_vlc00004.png","4:17","2023-04-08 17:16:42",30.3,3840,"2023-04-08",2023-04-08 17:16:42,4,17,2023-04-08 17:20:59,30.1,-89.9,TRUE
"86","DJI_0056.MP4_00_04_19_vlc00005.png","4:19","2023-04-08 17:16:42",30.4,3840,"2023-04-08",2023-04-08 17:16:42,4,19,2023-04-08 17:21:01,30.3,-90,TRUE
"87","DJI_0056.MP4_00_04_22_vlc00006.png","4:22","2023-04-08 17:16:42",30.3,3840,"2023-04-08",2023-04-08 17:16:42,4,22,2023-04-08 17:21:04,30.4,-89.9,TRUE
"88","DJI_0056.MP4_00_04_23_vlc00007.png","4:23","2023-04-08 17:16:42",30.4,3840,"2023-04-08",2023-04-08 17:16:42,4,23,2023-04-08 17:21:05,30.4,-89.9,TRUE
"89","DJI_0060.MP4_00_00_30_vlc00001.png","0:30","2023-04-08 17:39:06",32.9,3840,"2023-04-08",2023-04-08 17:39:06,0,30,2023-04-08 17:39:36,32.9,-89.9,TRUE
"90","DJI_0060.MP4_00_00_32_vlc00002.png","0:32","2023-04-08 17:39:06",32.6,3840,"2023-04-08",2023-04-08 17:39:06,0,32,2023-04-08 17:39:38,33.9,-89.4,TRUE
"91","DJI_0060.MP4_00_00_34_vlc00003.png","0:34","2023-04-08 17:39:06",32.9,3840,"2023-04-08",2023-04-08 17:39:06,0,34,2023-04-08 17:39:40,32.6,-89.9,TRUE
"92","DJI_0062.MP4_00_04_09_vlc00001.png","4:09","2023-04-09 06:45:40",41.3,3840,"2023-04-09",2023-04-09 06:45:40,4,9,2023-04-09 06:49:49,40.6,-90,TRUE
"93","DJI_0062.MP4_00_04_11_vlc00002.png","4:11","2023-04-09 06:45:40",40.8,3840,"2023-04-09",2023-04-09 06:45:40,4,11,2023-04-09 06:49:51,41,-90,TRUE
"94","DJI_0062.MP4_00_04_14_vlc00003.png","4:14","2023-04-09 06:45:40",40.1,3840,"2023-04-09",2023-04-09 06:45:40,4,14,2023-04-09 06:49:54,40.8,-90,TRUE
"95","DJI_0065.MP4_00_00_02_vlc00001.png","0:02","2023-04-09 07:07:16",26.8,3840,"2023-04-09",2023-04-09 07:07:16,0,2,2023-04-09 07:07:18,26.7,-90,TRUE
"96","DJI_0065.MP4_00_00_42_vlc00001.png","0:42","2023-02-17 09:11:48",139.2,1920,"2023-02-17",2023-02-17 09:11:48,0,42,2023-02-17 09:12:30,NA,NA,NA
"97","DJI_0065.MP4_00_00_51_vlc00002.png","0:51","2023-02-17 09:11:48",155.3,1920,"2023-02-17",2023-02-17 09:11:48,0,51,2023-02-17 09:12:39,NA,NA,NA
"98","DJI_0066.MP4_00_02_20_vlc00001.png","2:20","2023-04-09 07:14:07",119.9,3840,"2023-04-09",2023-04-09 07:14:07,2,20,2023-04-09 07:16:27,119.4,-89.9,TRUE
"99","DJI_0066.MP4_00_02_30_vlc00002.png","2:30","2023-04-09 07:14:07",119.2,3840,"2023-04-09",2023-04-09 07:14:07,2,30,2023-04-09 07:16:37,119.2,-89.9,TRUE
"100","DJI_0066.MP4_00_02_33_vlc00003.png","2:33","2023-04-09 07:14:07",119.2,3840,"2023-04-09",2023-04-09 07:14:07,2,33,2023-04-09 07:16:40,119.3,-90,TRUE
"101","DJI_0073.MP4_00_00_38_vlc00001.png","0:38","2023-04-09 08:04:22",39.8,3840,"2023-04-09",2023-04-09 08:04:22,0,38,2023-04-09 08:05:00,39.8,-89.9,TRUE
"102","DJI_0073.MP4_00_00_40_vlc00001.png","0:40","2023-04-09 08:04:22",39.4,3840,"2023-04-09",2023-04-09 08:04:22,0,40,2023-04-09 08:05:02,39.8,-89.9,TRUE
"103","DJI_0073.MP4_00_00_48_vlc00002.png","0:48","2023-04-09 08:04:22",39.4,3840,"2023-04-09",2023-04-09 08:04:22,0,48,2023-04-09 08:05:10,39.5,-89.9,TRUE
