"","ID","mean_length","length_CI_low","length_CI_hi","sd_length","mean_R.HD","sd_R.HD","R.HD_CI_low","R.HD_CI_hi","mean_R.HF","sd_R.HF","R.HF_CI_low","R.HF_CI_hi","mean_fem_prob_hd","sd_fem_prob_hd","prob_hd_CI_low","prob_hd_CI_hi","mean_m_prob_hd","m_prob_hd_CI_low","m_prob_hd_CI_hi","mean_fem_prob_hf","sd_fem_prob_hf","prob_hf_CI_low","prob_hf_CI_hi","mean_m_prob_hf","m_prob_hf_CI_low","m_prob_hf_CI_hi","suckled_ever","suckling_ever","CI_width_HD","CI_width_HF","CI_width_HD_male","CI_width_HF_male","CV_length","CV_HD","CV_HF"
"21","GAL2023_042",6.68041731795664,6.5511736700108,6.8807901898848,0.13839807996565,0.630177438387312,0.00508254011962505,0.623073282855598,0.634727953999965,0.29694808728972,0.00653010231292674,0.288748186255111,0.304698426950771,0.6406878016222,0.0766809665115489,0.537550308430842,0.837292846389635,0.3593121983778,0.162707153610365,0.462449691569158,0.561416016320818,0.105746166708708,0.408777061589578,0.770728374999467,0.438583983679182,0.229271625000533,0.591222938410422,FALSE,FALSE,0.299742537958793,0.361951313409889,0.299742537958793,0.361951313409889,2.07169811972139,0.806525243530106,2.19907202384354
"22","GAL2023_044",8.26995280807204,7.8879273836028,8.5173154201392,0.263263516917145,0.643991275468646,0.0199953688745299,0.627047621888025,0.672096484248372,0.286003421303778,0.00398105497547962,0.28218843014175,0.29175523424665,0.645250087813611,0.329945434442813,0.0979478141874656,0.991631095084753,0.354749912186389,0.00836890491524715,0.902052185812534,0.963872931481676,0.0448471804158806,0.845720330010489,0.999428872737979,0.0361270685183244,0.000571127262021377,0.154279669989511,FALSE,FALSE,0.893683280897287,0.153708542727489,0.893683280897287,0.153708542727489,3.18337387197883,3.10491300677619,1.39196061268482
"23","GAL2023_049",7.43008978005457,7.3497243830216,7.5973642035564,0.114814968375322,0.615547654230714,0.00571898681262932,0.60770734431723,0.620997433894901,0.296113759372296,0.0126437643995214,0.279473523684396,0.310442932054,0.88198130647269,0.0792823508233626,0.717744227767238,0.994161806112011,0.11801869352731,0.00583819388798866,0.282255772232762,0.6683326060337,0.236204710621447,0.307278283980515,0.985236943706962,0.3316673939663,0.0147630562930378,0.692721716019485,FALSE,FALSE,0.276417578344773,0.677958659726448,0.276417578344773,0.677958659726448,1.54527026959395,0.929089205900179,4.26990100909993
"24","GAL2023_053",11.0442350291023,10.8116945206452,11.1860555028692,0.167217323733393,0.673251987802519,0.00736542394201715,0.662908606833533,0.680604607458769,0.281276941350154,0.00278534015770715,0.277484366393416,0.283774064595982,0.246104464561847,0.245328323971917,0.016967604793919,0.793335612277316,0.753895535438153,0.206664387722683,0.983032395206081,0.999997139540134,1.1560200995551e-05,0.999978141406452,0.999999999937943,2.86045986559241e-06,6.20567213288689e-11,2.18585935482878e-05,FALSE,FALSE,0.776368007483397,2.18585314916142e-05,0.776368007483398,2.18585314915665e-05,1.51406886301101,1.09400701007326,0.990248309846258
"25","GAL2023_054",4.07513493354486,3.7364666464072,4.3208070838956,0.25079733452575,0.666138613176215,0.0337410431627823,0.620872322326193,0.699082392965811,0.28652860311625,0.0136706305363695,0.266078442322369,0.296535457427886,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,FALSE,TRUE,0,0,0,0,6.1543320311013,5.06516849427204,4.77112245956928
"26","GAL2023_057",12.120425036905,11.8713505322448,12.3747785413256,0.205352411126035,0.687373791324963,0.00447740613332158,0.683906169211092,0.693780187673559,0.322545131426686,0.00616526906763828,0.317085953878407,0.331074645549296,0.0280323482782688,0.029755826611386,0.000637073913560979,0.0918250750424981,0.971967651721731,0.908174924957502,0.999362926086439,0.786370356502314,0.326725325437255,0.110130933829816,0.99993109428143,0.213629643497686,6.89057185700799e-05,0.889869066170184,FALSE,FALSE,0.0911880011289371,0.889800160451614,0.0911880011289372,0.889800160451614,1.69426740812113,0.65137865159087,1.91144384674727
"27","GAL2023_059",10.0940364392886,10.0129768582584,10.1851933858832,0.0714715822312428,0.658690151966929,0.00851436392782634,0.647793204976474,0.668585385362509,0.298525481539507,0.0109654943344344,0.288629737609329,0.313921242373821,0.566158591037443,0.264471370560094,0.161846538371571,0.977514037575582,0.433841408962557,0.0224859624244184,0.838153461628429,0.9545568168466,0.0803907988966123,0.729927057400435,0.999997011261632,0.0454431831534001,2.98873836750287e-06,0.270072942599565,FALSE,FALSE,0.815667499204011,0.270069953861198,0.815667499204011,0.270069953861198,0.70805750168542,1.2926204987886,3.67321887494659
"28","GAL2023_064",10.8044405785417,10.6456075213432,10.999664642516,0.145194414965579,0.645892382911902,0.005079427846354,0.641763656016691,0.652796431312356,0.291055696444132,0.0109754642808261,0.276564188934416,0.303242517267843,0.904276078504393,0.0997147947074221,0.644654625470455,0.998250727304833,0.0957239214956071,0.00174927269516721,0.355345374529545,0.999408538503362,0.00168777291229846,0.994636984718224,0.99999999141568,0.000591461496638147,8.5843203671288e-09,0.00536301528177631,FALSE,FALSE,0.353596101834378,0.00536300669745582,0.353596101834378,0.00536300669745594,1.34384019154073,0.786420149972077,3.77091546907171
"29","GAL2023_065",8.69804960040594,8.6235488821728,8.8136097853004,0.0830681442653638,0.639541100010986,0.00982441463606666,0.62828374212572,0.652409457245093,0.305532072245545,0.0025628838999139,0.302523120225171,0.308798448316222,0.814743476761964,0.146831266341353,0.499941905349396,0.995275866185483,0.185256523238036,0.00472413381451678,0.500058094650604,0.802296239873909,0.107093588501954,0.580010712066343,0.971015092246751,0.197703760126091,0.0289849077532491,0.419989287933657,FALSE,FALSE,0.495333960836087,0.391004380180408,0.495333960836087,0.391004380180408,0.955020356074848,1.53616626607702,0.838826471171317
"30","GAL2023_066",11.2324584688474,11.1845049696088,11.2633289956616,0.0351346205323285,0.651216509160081,0.00289811559558827,0.647636238116469,0.65473573441543,0.318605420525768,0.00243373540117888,0.316345779992224,0.322091925358396,0.872408756754503,0.101444402143716,0.634349679684519,0.993469569916415,0.127591243245497,0.00653043008358535,0.365650320315481,0.911188802089441,0.104812033422439,0.632677164106771,0.998888216195905,0.088811197910559,0.0011117838040955,0.367322835893229,FALSE,FALSE,0.359119890231895,0.366211052089134,0.359119890231895,0.366211052089133,0.312795463520052,0.445031038805539,0.76387131052657
"31","GAL2023_080",10.6508749861307,10.5796459815228,10.7308140288432,0.0611581144313301,0.660048038145876,0.00424636658626643,0.654312136021773,0.66413765282691,0.297257675172277,0.00437666915978279,0.293675913858375,0.303268853706359,0.597373719764168,0.1989914901757,0.261882197247095,0.946458340692456,0.402626280235832,0.053541659307544,0.738117802752905,0.998937357248039,0.00240640236345219,0.991588584131539,0.999999098840277,0.00106264275196127,9.01159723028825e-07,0.00841141586846091,FALSE,FALSE,0.684576143445361,0.00841051470873788,0.684576143445361,0.00841051470873788,0.574207419681186,0.643342051011134,1.47234858014895
"32","GAL2023_081",15.657802007695,15.423721567884,16.098756295944,0.314643527946396,0.699535160504103,0.00948357931955637,0.691395003250673,0.713059246241843,0.384609011747472,0.00823228485545557,0.376660260516763,0.39585306956441,0.00620512747209256,0.0178099500663424,3.426388719651e-07,0.0297168985496798,0.993794872527907,0.97028310145032,0.999999657361128,4.37108687166262e-08,2.70646772150531e-07,8.14691586414121e-17,2.9236831681377e-07,0.999999956289131,0.999999707631683,1,FALSE,FALSE,0.0297165559108078,2.92368316732301e-07,0.0297165559108077,2.9236831666779e-07,2.00949997829686,1.35569730515365,2.14042952817256
"33","GAL2023_084",11.1051080623021,11.06782100047,11.1240246966972,0.0260130651489753,0.664284315990978,0.00827147021963584,0.656438255180437,0.675913552370859,0.30227534608234,0.00475234561022453,0.296265149071471,0.307854452468986,0.510052317781881,0.305842753128178,0.0442668290619227,0.944555481640117,0.489947682218119,0.0554445183598834,0.955733170938077,0.998620338551953,0.00331614297668933,0.98950536054993,0.999999467120928,0.00137966144804667,5.32879071991753e-07,0.0104946394500695,TRUE,FALSE,0.900288652578194,0.0104941065709975,0.900288652578194,0.0104941065709975,0.234244142452612,1.24517018097838,1.57219094174157
"34","GAL2023_085",10.3473717141961,10.1538074149244,10.5416653402752,0.158005056571354,0.65192230471883,0.00736046998797403,0.645811583395476,0.662520016723331,0.309459114841839,0.0130870699739868,0.290741427320559,0.320991797166294,0.757569361322416,0.225814879459947,0.294182798573159,0.993466314532138,0.242430638677584,0.00653368546786245,0.705817201426841,0.833385290470848,0.203340973536159,0.343383691422737,0.99999340381342,0.166614709529152,6.59618657984243e-06,0.656616308577263,FALSE,FALSE,0.699283515958979,0.656609712390683,0.699283515958979,0.656609712390683,1.52700667314946,1.12904098152441,4.22901422072361
"35","GAL2023_086",11.7994416395861,11.6522872670732,11.9453547129008,0.119308246005834,0.647147071948844,0.00399505853846837,0.642187679907887,0.651893688999495,0.290587337413408,0.00346741598465518,0.287134969086596,0.295279217040875,0.938706607401562,0.0691195785744215,0.746498293974241,0.999146404263491,0.0612933925984378,0.000853595736508794,0.253501706025759,0.999996871255322,1.00752921060732e-05,0.999971780777135,0.999999999933112,3.12874467833255e-06,6.6888074351904e-11,2.82192228650591e-05,TRUE,FALSE,0.25264811028925,2.82191559770606e-05,0.25264811028925,2.82191559769847e-05,1.01113467611523,0.61733394333957,1.19324400557833
"36","GAL2023_087",11.6585484061939,11.559730134876,11.7589770802628,0.082816705320606,0.660136389650611,0.00242582371568924,0.658026645561272,0.663693086173355,0.296413223082067,0.00153493060012551,0.294763223849096,0.298537401594646,0.691614498419333,0.16862039343749,0.33296885474126,0.952870422532075,0.308385501580667,0.0471295774679247,0.66703114525874,0.999978083550393,6.61703476867495e-05,0.999842086600808,0.999999992227355,2.19164496066137e-05,7.77264520713697e-09,0.000157913399191969,FALSE,FALSE,0.619901567790815,0.000157905626546717,0.619901567790815,0.000157905626546762,0.710351773095593,0.367473109151452,0.51783472551106
"37","GAL2023_088",10.5062761884598,10.2955700068948,10.7392506610976,0.183192326345303,0.630857654809213,0.010333351344605,0.616105956202141,0.641779725288615,0.2979565949363,0.00232991130692429,0.295783442700174,0.30108072508988,0.975591618033326,0.0391439105704371,0.857763590234961,0.999950518587977,0.0244083819666738,4.94814120227961e-05,0.142236409765039,0.998781304597773,0.00218138815660296,0.992986570426847,0.999997955657619,0.00121869540222737,2.04434238073058e-06,0.00701342957315266,FALSE,FALSE,0.142186928353016,0.00701138523077194,0.142186928353016,0.00701138523077193,1.74364658856506,1.63798461758066,0.781963328390969
"38","GAL2023_089",10.0984181730891,9.878388362812,10.4154616160848,0.238920769488763,0.663540781994186,0.0173182647702701,0.641999889767685,0.683670914045813,0.335053595545098,0.00981393242698697,0.321065036458717,0.344407190754744,0.441952216277779,0.384131411267509,0.0116469694795541,0.995738493922335,0.558047783722221,0.00426150607766499,0.988353030520446,0.146112277894685,0.232006388783976,0.000278672569991841,0.723884144642723,0.853887722105315,0.276115855357277,0.999721327430008,FALSE,FALSE,0.984091524442781,0.723605472072731,0.984091524442781,0.723605472072731,2.3659227157522,2.60997744829223,2.92906345655557
"39","GAL2023_090",11.3224335966035,11.210851238214,11.4919792162624,0.119726936207291,0.666942215853612,0.00161861198152821,0.665246231568571,0.669177752845007,0.312292413249753,0.00265352100599665,0.309986856696924,0.316106347171021,0.405114198846061,0.149682344182028,0.156992199388477,0.720393297119007,0.594885801153939,0.279606702880993,0.843007800611523,0.98992455110374,0.0161484917221099,0.940670133321919,0.999931441717141,0.0100754488962602,6.85582828589885e-05,0.0593298666780813,FALSE,FALSE,0.563401097730531,0.0592613083952223,0.563401097730531,0.0592613083952223,1.05743111837023,0.242691487066321,0.849691152719271
